node_id,node_label
1,Afghanistan
2,Australia
3,Azerbaijan
4,Bahrain
5,Belgium
6,Bhutan
7,Bosnia and Herzegovina
8,Brunei Darussalam
9,Bulgaria
10,Canada
11,Croatia
12,Cyprus
13,Czechia
14,Denmark
15,Estonia
16,Finland
17,France
18,Georgia
19,Germany
20,Greece
21,"Hong Kong SAR, China"
22,Hungary
23,Iceland
24,India
25,Indonesia
26,"Iran, Islamic Rep."
27,Ireland
28,Israel
29,Italy
30,"Korea, Rep."
31,Lao PDR
32,Latvia
33,Lithuania
34,Luxembourg
35,Malaysia
36,Malta
37,Moldova
38,Mongolia
39,Netherlands
40,North Macedonia
41,Norway
42,Oman
43,Philippines
44,Poland
45,Portugal
46,Qatar
47,Romania
48,Serbia
49,Singapore
50,Slovak Republic
51,Slovenia
52,Spain
53,Sweden
54,Switzerland
55,Thailand
56,Turkiye
57,United Arab Emirates
58,United States
59,Uzbekistan
60,Viet Nam
61,West Bank and Gaza
