Country Name,GDP,GNI_Atlas,GNI_PPP
Afghanistan,372.62,360.00,2100.00
Australia,60972.87,60820.00,62900.00
Azerbaijan,5595.26,5670.00,21020.00
Bahrain,24353.07,27710.00,57970.00
Belgium,44198.20,53890.00,69310.00
Bhutan,3336.38,3590.00,14240.00
Bosnia and Herzegovina,6270.86,7650.00,20760.00
Brunei Darussalam,28954.06,31410.00,81060.00
Bulgaria,9550.94,13350.00,34300.00
Canada,45227.14,53300.00,61230.00
Croatia,16712.04,19650.00,42510.00
Cyprus,30556.72,31520.00,49730.00
Czechia,20237.29,26140.00,49350.00
Denmark,60345.56,73520.00,80530.00
Estonia,21141.00,27200.00,46760.00
Finland,46655.17,54730.00,63180.00
France,38816.48,45290.00,58610.00
Georgia,5736.30,5690.00,20880.00
Germany,43361.18,54030.00,69210.00
Greece,20287.73,21810.00,38520.00
"Hong Kong SAR, China",43283.02,54000.00,73080.00
Hungary,16345.31,19050.00,42320.00
Iceland,57816.36,73930.00,73180.00
India,2098.22,2400.00,9070.00
Indonesia,4073.56,4580.00,14050.00
"Iran, Islamic Rep.",5507.53,3980.00,16570.00
Ireland,97316.88,79730.00,96100.00
Israel,42710.78,55140.00,51690.00
Italy,33364.11,38370.00,56410.00
"Korea, Rep.",33690.38,36160.00,52380.00
Lao PDR,2599.20,2310.00,8140.00
Latvia,17014.62,21970.00,41010.00
Lithuania,18535.08,23860.00,49160.00
Luxembourg,109714.92,89200.00,98650.00
Malaysia,11399.40,11830.00,33880.00
Malta,30760.64,33330.00,53380.00
Moldova,3581.72,5500.00,16370.00
Mongolia,4249.68,4260.00,14550.00
Netherlands,50546.79,60230.00,73850.00
North Macedonia,6217.95,7500.00,23130.00
Norway,79434.63,96770.00,128020.00
Oman,18856.88,20020.00,39750.00
Philippines,3528.33,3950.00,10570.00
Poland,17178.67,18960.00,44880.00
Portugal,22125.94,25950.00,43870.00
Qatar,63428.36,70070.00,116870.00
Romania,12131.74,15490.00,41690.00
Serbia,7493.16,9300.00,23810.00
Singapore,67948.89,66970.00,114620.00
Slovak Republic,18898.04,22080.00,40370.00
Slovenia,25349.76,29590.00,50290.00
Spain,27702.75,32090.00,48920.00
Sweden,55894.16,63900.00,71230.00
Switzerland,90057.04,95490.00,88910.00
Thailand,6275.93,7240.00,21570.00
Turkiye,14055.11,10640.00,37980.00
United Arab Emirates,45698.01,49160.00,78530.00
United States,63720.76,76590.00,77790.00
Uzbekistan,3473.36,2200.00,9140.00
Viet Nam,3658.69,4020.00,13370.00
West Bank and Gaza,3099.96,4720.00,7610.00
